"env_ID","inter","slope","Xc","STP","sd"
1,24.3333333333333,0.283333333333333,20,15,4.29234695990928
2,75.4665595501105,0,120,12.5,7.93295771965401
3,33.0038312705678,0.259135442438441,48,8.5,4.55188551449282
4,25.2607003891051,0.210700389105058,60,4,11.5379750108305
5,33.3176470588235,0.270588235294118,40,10.5,6.23038097220575
6,66.8823529411764,0,120,79,6.47927097603985
7,51.1168831168832,0.0155844155844152,80,23,1.25873570872347
8,45.260606060606,0.483636363636366,10,6,1.44821380753093
9,28.45,0.0951041666666667,30,18,2.99127563972801
10,24.9896661367249,0.461367249602544,40,5.5,3.93592892710453
11,32.6,0.293333333333333,30,9,1.55777619273972
12,26.59,0.322666666666666,60,7,2.44451767567074
13,56.6475,0.100875,40,20,9.86818925086609
14,35.6238095238095,0,120,9,2.68582699864803
15,41.45,0.382666666666665,15,16.5,5.21508495722852
16,33.7769464951671,0,120,16,1.73168992605489
17,15.1,0.0663999999999999,50,7.5,2.45
18,29,0.18,25,3,2.95803989154981
19,29.3333333333333,0.401666666666667,25,3,5.27424955167399
20,36.5,0.521739130434782,11.5,7,3.21825152173395
21,26.5,0.231884057971014,11.5,16.5,3.4606633000323
22,25.8484848484848,0.30530303030303,40,10,4.26288356732153
23,22.1638551556635,0.0193640980348864,40,5,5.04868151284936
24,22.7692307692308,0,120,13,2.28868854108532
25,43.8015564202335,0.101556420233463,60,9,4.93315773898215
26,39,0.756521739130434,11.5,18.5,4.65065279596009
27,32.469696969697,0.0810606060606059,40,14,10.6326074693744
28,45.1444674786214,0.172411894273128,64,14,6.04528180540522
29,42,0.27536231884058,11.5,14,3.43996124009172
30,23.5,0.596273291925467,11.5,14,4.85907389101473
31,30.875,0.292272727272727,25,10,3.41102638660287
32,62.4784982935154,0,120,22.5,4.09762997701981
33,34.9806786050895,0.0289349670122526,50,9.5,1.42474936007581
34,34.2816326530613,1.49923469387755,16,2,4.88286431775225
35,34,0.146666666666667,25,13,3.286335345031
36,32,0,25,20.5,13.699772285836
37,44.175,0.150833333333333,45,8,1.93810474433143
38,55.3333333333333,0.137878787878787,20,12.5,2.55086006130121
39,73.1349661968272,0.00223446148371021,21.8978612590581,62.2557129815686,13.699772285836
40,66.7834379175309,2.19143094854752e-16,7.29796106228605,53.6828303593211,1.73168992605489
41,47.1848299711659,1.6325522116819e-09,9.12740780040622,40.1462251064368,2.28868854108532
42,31.1980759786581,4.71028031113661e-07,3.61365073593333,30.5475030653179,4.09762997701981
43,64.4164486840496,1.44304861528348e-18,23.0491729010828,41.3936627109069,2.28868854108532
44,51.8049528308474,0.577489280133166,4.30770735489205,60.8096230158117,1.73168992605489
45,52.5503852701747,0.00012854281575464,20.1451180852018,41.2299498240463,7.93295771965401
46,17.5325049665877,2.79855235319223e-16,10.8196189440787,45.2342815184966,6.47927097603985
